A,bpp,psnr,msssim,dbcnn,liqe_score,lpips_score
ms-q1,0.16035970052083334,25.940914074579876,0.9572840904196104,0.4484877685705821,3.102857251962026,0.2945488877594471
ms-q2,0.20343356662326387,26.594788551330566,0.9664473260442416,0.47225164994597435,3.5353279610474906,0.2572205762068431
ms-q3,0.2446221245659722,27.132023334503174,0.9725367426872253,0.4943677509824435,3.864492734273275,0.23007849169274172
ms-q4,0.2835557725694444,27.53765892982483,0.9767226104935011,0.5076362130542597,4.106399993101756,0.2111279939611753
ms-q5,0.38152737087673616,28.233680089314777,0.9834720393021902,0.5306184949974219,4.410483072201411,0.17738909646868706
ms-q6,0.5370076497395834,29.770811398824055,0.9892449652155241,0.5724774872263273,4.636760234832764,0.11638806232561667
ms-q7,0.72314453125,30.768848260243733,0.9926397254069647,0.6002991398175558,4.706683953603108,0.07970373146235943
ms-q8,1.0321214463975694,31.967695633570354,0.9954045340418816,0.6332513615489006,4.7705676555633545,0.04881451760108272
q1,0.2012939453125,29.739952166875202,0.9430602813760439,0.5594672535856565,3.684612294038137,0.2615942694246769
q2,0.24917941623263887,30.57247757911682,0.9532902215917906,0.5830721408128738,4.007356454928716,0.2279962608590722
q3,0.3072509765625,31.43666934967041,0.9618533353010813,0.602784184118112,4.267307549715042,0.19475319174428782
q4,0.3644917805989583,32.18299436569214,0.9679279873768488,0.616380957265695,4.428512175877889,0.1699033953870336
q5,0.5230882432725695,33.92231488227844,0.9785321826736132,0.6519091228644053,4.673992941776912,0.12175070649633805
q6,0.7373250325520834,35.74852148691813,0.9854733074704806,0.6698931281765302,4.775755484898885,0.08756280907740195
q7,1.0110541449652777,37.7071967124939,0.9904859736561775,0.689041351278623,4.826266368230184,0.061490578266481556
q8,1.3428514268663194,39.5981232325236,0.9936196605364481,0.7031204104423523,4.848806540171306,0.044000833528116345
